IP,site,dns,vuln
10.200.56.240,ms.vicksburg-0012.erdc.usace - v4,oslogs.erdc.dren.mil,
10.200.56.22,ms.vicksburg-0012.erdc.usace - v4,osnsxctrl3.erdc.dren.mil,
10.200.56.21,ms.vicksburg-0012.erdc.usace - v4,osnsxctrl2.erdc.dren.mil,
10.200.56.20,ms.vicksburg-0012.erdc.usace - v4,osnsxctrl1.erdc.dren.mil,
10.200.56.10,ms.vicksburg-0012.erdc.usace - v4,,
10.200.54.16,ms.vicksburg-0012.erdc.usace - v4,,
10.200.54.15,ms.vicksburg-0012.erdc.usace - v4,,
10.200.54.14,ms.vicksburg-0012.erdc.usace - v4,,
10.200.54.13,ms.vicksburg-0012.erdc.usace - v4,,
10.200.54.12,ms.vicksburg-0012.erdc.usace - v4,,
10.200.54.11,ms.vicksburg-0012.erdc.usace - v4,,
10.200.54.10,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.251,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.202,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.201,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.200,ms.vicksburg-0012.erdc.usace - v4,irmc85f553.erdc.dren.mil,
10.200.51.199,ms.vicksburg-0012.erdc.usace - v4,irmc82e1b8.erdc.dren.mil,
10.200.51.198,ms.vicksburg-0012.erdc.usace - v4,irmc7dd695.erdc.dren.mil,
10.200.51.197,ms.vicksburg-0012.erdc.usace - v4,irmc82d808.erdc.dren.mil,
10.200.51.196,ms.vicksburg-0012.erdc.usace - v4,irmc82dfd8.erdc.dren.mil,
10.200.51.194,ms.vicksburg-0012.erdc.usace - v4,itlkm9-wn-4731h.erdc.dren.mil,
10.200.51.189,ms.vicksburg-0012.erdc.usace - v4,ilo2m203708hz.erdc.dren.mil,
10.200.51.188,ms.vicksburg-0012.erdc.usace - v4,ilo2m203708hy.erdc.dren.mil,
10.200.51.161,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.160,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.159,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.158,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.157,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.156,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.155,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.154,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.146,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.145,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.144,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.142,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.141,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.140,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.98,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.97,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.96,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.95,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.89,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.88,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.87,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.86,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.83,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.81,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.80,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.70,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.69,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.68,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.66,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.65,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.64,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.63,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.62,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.61,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.60,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.59,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.58,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.57,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.56,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.54,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.53,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.52,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.51,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.50,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.49,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.48,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.47,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.46,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.45,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.43,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.42,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.41,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.40,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.31,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.30,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.15,ms.vicksburg-0012.erdc.usace - v4,,
10.200.51.4,ms.vicksburg-0012.erdc.usace - v4,erdc-gw2.erdc.dren.mil,
10.200.51.3,ms.vicksburg-0012.erdc.usace - v4,erdc-gw1.erdc.dren.mil,
10.200.39.11,ms.vicksburg-0012.erdc.usace - v4,,
10.200.39.9,ms.vicksburg-0012.erdc.usace - v4,,
10.200.32.7,ms.vicksburg-0012.erdc.usace - v4,,
10.200.30.33,ms.vicksburg-0012.erdc.usace - v4,,
10.200.27.98,ms.vicksburg-0012.erdc.usace - v4,epas-dev-db.erdc.dren.mil,
10.200.27.55,ms.vicksburg-0012.erdc.usace - v4,cesat-db-prod.erdc.dren.mil,
10.200.27.22,ms.vicksburg-0012.erdc.usace - v4,cesat-training-db.erdc.dren.mil,
10.200.27.21,ms.vicksburg-0012.erdc.usace - v4,cesat-testing-db.erdc.dren.mil,
10.200.27.12,ms.vicksburg-0012.erdc.usace - v4,ms-db1ext.erdc.dren.mil,
10.200.27.9,ms.vicksburg-0012.erdc.usace - v4,dstat-db1.erdc.dren.mil,
10.200.26.65,ms.vicksburg-0012.erdc.usace - v4,erdclib-db.erdc.dren.mil,
10.200.26.42,ms.vicksburg-0012.erdc.usace - v4,,
10.200.26.16,ms.vicksburg-0012.erdc.usace - v4,listbuilder-db.erdc.dren.mil,
10.200.24.124,ms.vicksburg-0012.erdc.usace - v4,,
10.200.23.83,ms.vicksburg-0012.erdc.usace - v4,,
10.200.23.82,ms.vicksburg-0012.erdc.usace - v4,,
10.200.23.81,ms.vicksburg-0012.erdc.usace - v4,klmdmz.erdc.dren.mil,
